,activity_type,date,title,distance,calories,avg_hr,max_hr,avg_speed,max_speed,total_ascent,total_descent,moving_time,elapsed_time,max_temp,min_temp,epoch
40,Cycling,2023-12-15 16:03:30,Urbandale Cycling,21.13,210,111,145,26.9,41.3,31,70,00:46:48,00:49:16,0.0,0.0,1702656210
41,Cycling,2023-12-15 05:34:24,Des Moines Cycling,21.19,403,146,168,25.5,38.7,78,35,00:49:35,00:50:51,0.0,0.0,1702618464
42,Cycling,2023-12-14 04:41:18,Des Moines Cycling,18.4,401,150,174,23.4,37.0,103,59,00:47:02,00:47:52,0.0,0.0,1702528878
43,Cycling,2023-12-13 16:06:47,Des Moines Cycling,15.58,301,143,156,25.7,37.7,49,50,00:35:58,00:40:53,0.0,0.0,1702483607
44,Cycling,2023-12-12 17:14:21,Johnston Cycling,20.08,418,153,179,25.5,33.5,32,62,00:46:59,00:49:18,0.0,0.0,1702401261
45,Cycling,2023-12-12 15:04:21,Urbandale Cycling,4.3,90,140,163,24.1,33.0,13,29,00:10:38,00:10:57,0.0,0.0,1702393461
46,Cycling,2023-12-12 05:30:40,Des Moines Cycling,18.47,387,146,169,23.3,33.9,105,62,00:47:22,00:47:42,0.0,0.0,1702359040
47,Cycling,2023-12-11 16:58:02,Urbandale Cycling,21.05,400,141,167,23.8,37.6,29,68,00:52:47,00:54:49,0.0,0.0,1702313882
48,Cycling,2023-12-11 05:27:09,Des Moines Cycling,21.33,473,151,173,23.9,35.1,227,322,00:53:04,00:53:41,0.0,0.0,1702272429
49,Cycling,2023-12-08 19:05:31,Des Moines Cycling,13.4,217,136,175,27.6,48.7,93,92,00:28:35,00:32:21,0.0,0.0,1702062331
50,Cycling,2023-12-08 17:33:02,Urbandale Cycling,21.47,379,142,173,26.2,40.8,34,80,00:49:00,00:49:48,0.0,0.0,1702056782
51,Cycling,2023-12-08 05:28:08,Des Moines Cycling,21.34,436,147,166,24.8,36.8,169,130,00:51:26,00:51:57,0.0,0.0,1702013288
52,Cycling,2023-12-07 17:24:24,Johnston Cycling,19.51,212,114,143,25.6,35.1,23,43,00:45:33,00:47:19,0.0,0.0,1701969864
53,Cycling,2023-12-07 15:06:58,Urbandale Cycling,3.87,74,138,166,25.0,34.8,13,32,00:09:13,00:10:01,0.0,0.0,1701961618
54,Cycling,2023-12-07 05:44:52,Des Moines Cycling,18.37,394,149,176,23.7,35.7,351,308,00:45:59,00:48:16,0.0,0.0,1701927892
55,Cycling,2023-12-06 16:13:39,Urbandale Cycling,21.32,337,137,166,25.1,43.5,29,75,00:50:23,00:56:16,0.0,0.0,1701879219
56,Cycling,2023-12-06 05:45:28,Des Moines Cycling,21.19,469,153,169,23.7,35.7,144,101,00:52:57,00:57:57,0.0,0.0,1701841528
57,Cycling,2023-12-05 17:24:57,Johnston Cycling,20.07,229,117,148,25.6,34.1,29,60,00:46:44,00:48:38,0.0,0.0,1701797097
58,Cycling,2023-12-05 15:06:53,Urbandale Cycling,3.86,84,143,160,23.9,31.6,11,32,00:09:34,00:10:05,0.0,0.0,1701788813
59,Cycling,2023-12-05 05:25:51,Des Moines Cycling,18.4,404,151,175,23.8,34.5,106,63,00:46:08,00:47:50,0.0,0.0,1701753951
60,Cycling,2023-12-04 16:07:46,Urbandale Cycling,21.43,259,118,152,25.1,39.5,25,72,00:51:03,00:53:06,0.0,0.0,1701706066
61,Cycling,2023-12-04 05:45:33,Des Moines Cycling,21.37,399,143,168,24.8,34.7,130,208,00:51:31,00:52:08,0.0,0.0,1701668733
62,Cycling,2023-12-01 14:51:58,Urbandale Cycling,21.46,383,142,163,26.0,36.7,62,80,00:49:19,00:50:31,0.0,0.0,1701442318
63,Cycling,2023-12-01 05:08:04,Des Moines Cycling,21.32,451,151,175,24.4,35.8,73,95,00:52:15,00:52:40,0.0,0.0,1701407284
64,Cycling,2023-11-30 14:59:24,Urbandale Cycling,3.5,32,96,120,24.2,33.2,12,26,00:08:39,00:09:32.9,0.0,0.0,1701356364
65,Cycling,2023-11-30 05:19:15,Des Moines Cycling,18.46,385,150,184,24.6,38.3,168,124,00:44:51,00:45:08,0.0,0.0,1701321555
66,Cycling,2023-11-29 16:09:13,Urbandale Cycling,21.42,402,145,169,25.3,40.8,40,83,00:50:34,00:51:34,0.0,0.0,1701274153
67,Cycling,2023-11-29 05:37:52,Des Moines Cycling,21.15,477,150,166,22.9,35.8,84,40,00:55:14,00:57:33,0.0,0.0,1701236272
68,Cycling,2023-11-28 17:22:54,Johnston Cycling,19.33,398,144,173,21.5,31.8,32,52,00:51:53,00:56:35,0.0,0.0,1701192174
69,Cycling,2023-11-28 05:43:43,Des Moines Cycling,18.31,577,161,179,17.9,27.2,111,122,01:00:54,01:13:51,0.0,0.0,1701150223
70,Cycling,2023-11-27 16:10:14,Urbandale Cycling,21.23,404,145,186,23.9,40.1,44,73,00:52:47,00:58:33,0.0,0.0,1701101414
71,Cycling,2023-11-27 05:36:07,Des Moines Cycling,21.14,589,159,179,20.0,28.9,83,39,01:03:02,01:06:07,0.0,0.0,1701063367
72,Cycling,2023-11-22 16:12:05,Urbandale Cycling,21.4,307,125,154,23.3,41.2,30,74,00:54:53,00:56:39,0.0,0.0,1700669525
73,Cycling,2023-11-22 05:43:52,Des Moines Cycling,21.29,455,146,173,22.9,32.6,79,37,00:55:29,00:58:45,0.0,0.0,1700631832
74,Virtual Cycling,2023-11-21 18:30:10,Zwift - Wandering Flats in Makuri Islands,25.38,440,--,--,33.1,50.8,146,--,00:45:58,00:45:58,0.0,0.0,1700591410
75,Cycling,2023-11-21 17:11:46,Johnston Cycling,20.07,253,121,162,27.4,37.0,32,61,00:43:38,00:45:52,0.0,0.0,1700586706
76,Cycling,2023-11-21 14:47:10,Urbandale Cycling,3.87,79,139,165,24.2,31.1,10,33,00:09:32,00:10:08,0.0,0.0,1700578030
77,Cycling,2023-11-21 05:48:28,Des Moines Cycling,18.33,410,151,172,23.7,35.1,110,68,00:46:07,00:46:57,0.0,0.0,1700545708
78,Virtual Cycling,2023-11-20 18:26:29,Zwift - Casse-Pattes in France,24.27,457,--,--,33.8,62.0,154,--,00:43:05,00:43:06,0.0,0.0,1700504789
79,Cycling,2023-11-20 16:35:28,Urbandale Cycling,21.37,410,145,172,24.4,37.9,35,79,00:52:11,00:56:01,0.0,0.0,1700498128
80,Cycling,2023-11-20 05:53:26,Des Moines Cycling,21.31,417,145,163,25.2,34.1,66,25,00:50:41,00:50:58,0.0,0.0,1700459606
